id;cpf;data;capital;n_parcelas;taxa_juros;impostos
;202.337.679-32;2021-05-13;5000;5;1.2;300
;620.540.260-26;2021-05-20;100000;60;1;800
;733.108.923-44;2021-05-20;35000;36;1.1;900
;716.608.584-37;2021-05-27;110000;60;0.9;850
;406.963.709-56;2021-05-27;85000;60;1;725
;914.826.758-97;2021-06-03;25000;5;1.2;700
;086.921.592-20;2021-06-03;30000;36;1.1;800
;698.967.276-51;2021-06-10;65000;60;1;625
;134.710.264-79;2021-06-10;85000;60;1;725
;482.350.040-70;2021-10-06;95000;60;1;775
;432.012.903-27;2021-06-17;25000;5;1.2;700
;278.583.251-59;2021-06-17;140000;96;0.9;1000
;786.829.252-06;2021-06-24;55000;36;1.1;575
;789.056.708-14;2021-06-24;50000;36;1.1;550
;456.761.940-49;2021-07-01;115000;60;0.9;875
;451.490.791-03;2021-07-01;95000;60;1;775
;917.927.682-22;2021-07-08;140000;96;0.9;1000
;177.696.998-78;2021-07-08;25000;5;1.2;700
;598.457.915-49;2021-07-15;90000;60;1;750
;582.378.843-61;2021-07-15;140000;96;0.9;1000
;202.337.679-32;2021-08-05;80000;60;1;700
;620.540.260-26;2021-09-02;25000;5;1.2;700
;202.337.679-32;2021-09-30;40000;36;1.1;1000
;733.108.923-44;2021-10-28;35000;36;1.1;900
;914.826.758-97;2021-11-25;25000;5;1.2;700
;086.921.592-20;2021-12-23;90000;60;1;750
;278.583.251-59;2021-12-23;45000;36;1.1;1100
;451.490.791-03;2022-01-20;125000;96;0.9;925
;406.963.709-56;2022-01-20;125000;96;0.9;925
